t,Goal Position,Actual Position,Actual Velocity
6.41856575012207,1732,1702,3
6.434561014175415,1732,1706,6
6.4504759311676025,1732,1709,9
6.466385841369629,1732,1712,11
6.482396841049194,1732,1715,12
6.498450994491577,1732,1718,12
6.514569044113159,1732,1721,12
6.530518054962158,1732,1723,12
6.546478986740112,1732,1726,11
6.562502861022949,1732,1727,10
6.578646898269653,1732,1728,8
6.594587802886963,1732,1729,7
6.626455068588257,1719,1731,4
6.64258885383606,1719,1731,4
6.65838098526001,1719,1731,2
6.674391984939575,1719,1730,1
6.690449953079224,1719,1731,0
6.706433057785034,1719,1731,0
6.7224719524383545,1719,1730,0
6.738523960113525,1719,1730,0
6.754590034484863,1719,1727,-1
6.770616054534912,1719,1726,-3
6.786543846130371,1719,1723,-5
6.802617788314819,1719,1722,-6
6.818493843078613,1719,1721,-6
6.834496974945068,1719,1721,-5
6.850494861602783,1719,1721,-4
6.866379976272583,1719,1720,-3
6.882457971572876,1719,1720,-2
6.898360013961792,1719,1720,-1
6.914423942565918,1719,1720,0
6.930447816848755,1719,1721,0
6.946415901184082,1719,1721,0
6.962415933609009,1719,1720,0
6.9784629344940186,1719,1720,0
6.994534969329834,1719,1720,0
7.010556936264038,1719,1720,0
7.026612997055054,1719,1720,0
7.058651924133301,1710,1720,0
7.074580907821655,1710,1720,0
7.090447187423706,1710,1719,0
7.106380939483643,1710,1718,0
7.122440814971924,1710,1717,-1
7.13846492767334,1710,1717,-2
7.154420852661133,1710,1716,-3
7.17039680480957,1710,1714,-3
7.186513900756836,1710,1713,-4
7.20249605178833,1710,1712,-4
7.21851110458374,1710,1711,-4
7.234466075897217,1710,1711,-3
7.250591993331909,1710,1711,-2
7.266541004180908,1710,1711,-1
7.282440900802612,1710,1711,0
7.298454999923706,1710,1711,0
7.314407825469971,1710,1711,0
7.330335855484009,1710,1711,0
7.346462965011597,1710,1711,0
7.362546920776367,1710,1711,0
7.378582954406738,1710,1712,0
7.394540071487427,1710,1711,0
7.410528898239136,1710,1711,0
7.426497936248779,1710,1711,0
7.442394018173218,1710,1711,0
7.458383798599243,1710,1711,0
7.474469900131226,1710,1711,0
